feature_type,hour,dow,month,1,Billet Yard,Billet Yard Left,Coil Yard,Coil Yard Camera-2,DISHPATCH GATE,ECR6 SBL,Finishing Stand,Furnace Oil Reading,Junk Yard,Mukandsumi,Mukansumi,NDT,PSM,SBL DUMPING YARD,SBL Loading,SBL MTA Desk,Utility Back Right,Utility Road Left,default
Camera Fault,0,0,1,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.693548387,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032,0.016129032
Camera Fault,0,0,5,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.452991453,0.393162393,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009,0.008547009
Camera Fault,0,0,8,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.683333333,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667
Camera Fault,0,0,10,0.031141869,0.032525952,0.031141869,0.030449827,0.033217993,0.031141869,0.000692042,0.031141869,0.000692042,0.000692042,0.460207612,0.030449827,0.033910035,0.032525952,0.033910035,0.031141869,0.031141869,0.031141869,0.031141869,0.061591696
Camera Fault,0,1,3,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.736111111,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889,0.013888889
Camera Fault,0,1,5,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.68852459,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443,0.016393443
Camera Fault,0,1,8,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.453703704,0.37962963,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259,0.009259259
Camera Fault,0,1,11,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.695652174,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.043478261,0.014492754,0.014492754
Camera Fault,0,2,2,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.391304348,0.452173913,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652,0.008695652
Camera Fault,0,2,3,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.68115942,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.014492754,0.043478261,0.028985507,0.014492754
Camera Fault,0,2,6,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.707692308,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615,0.015384615
Camera Fault,0,2,8,0.030957523,0.032397408,0.031677466,0.028077754,0.032397408,0.030957523,0.000719942,0.033117351,0.000719942,0.000719942,0.465802736,0.028077754,0.033837293,0.033837293,0.032397408,0.031677466,0.028077754,0.030957523,0.031677466,0.061915047
